#   time    x   y   vx  vy
  6.00000000e+00   2.12132034e+02   3.96720344e+01   3.53553391e+01  -2.34446609e+01
  6.10000000e+00   2.15667568e+02   3.73275683e+01   3.53553391e+01  -2.44246609e+01
  6.20000000e+00   2.19203102e+02   3.48851022e+01   3.53553391e+01  -2.54046609e+01
  6.30000000e+00   2.22738636e+02   3.23446361e+01   3.53553391e+01  -2.63846609e+01
  6.40000000e+00   2.26274170e+02   2.97061700e+01   3.53553391e+01  -2.73646609e+01
  6.50000000e+00   2.29809704e+02   2.69697039e+01   3.53553391e+01  -2.83446609e+01
  6.60000000e+00   2.33345238e+02   2.41352378e+01   3.53553391e+01  -2.93246609e+01
  6.70000000e+00   2.36880772e+02   2.12027717e+01   3.53553391e+01  -3.03046609e+01
  6.80000000e+00   2.40416306e+02   1.81723056e+01   3.53553391e+01  -3.12846609e+01
  6.90000000e+00   2.43951840e+02   1.50438395e+01   3.53553391e+01  -3.22646609e+01
  7.00000000e+00   2.47487373e+02   1.18173734e+01   3.53553391e+01  -3.32446609e+01
  7.10000000e+00   2.51022907e+02   8.49290732e+00   3.53553391e+01  -3.42246609e+01
  7.20000000e+00   2.54558441e+02   5.07044123e+00   3.53553391e+01  -3.52046609e+01
  7.30000000e+00   2.58093975e+02   1.54997513e+00   3.53553391e+01  -3.61846609e+01
  7.40000000e+00   2.61629509e+02  -2.06849096e+00   3.53553391e+01  -3.71646609e+01
