#   time    x   y   vx  vy
  6.00000000e-01   1.97243699e+01   1.88063847e+01   3.07080583e+01   2.44994989e+01
  6.10000000e-01   2.00311360e+01   1.90505900e+01   3.06451531e+01   2.43415509e+01
  6.20000000e-01   2.03372749e+01   1.92932188e+01   3.05826376e+01   2.41842132e+01
  6.30000000e-01   2.06427906e+01   1.95342773e+01   3.05205082e+01   2.40274801e+01
  6.40000000e-01   2.09476870e+01   1.97737714e+01   3.04587617e+01   2.38713459e+01
  6.50000000e-01   2.12519678e+01   2.00117072e+01   3.03973944e+01   2.37158050e+01
  6.60000000e-01   2.15556368e+01   2.02480904e+01   3.03364032e+01   2.35608521e+01
  6.70000000e-01   2.18586977e+01   2.04829271e+01   3.02757846e+01   2.34064816e+01
  6.80000000e-01   2.21611543e+01   2.07162230e+01   3.02155353e+01   2.32526881e+01
  6.90000000e-01   2.24630102e+01   2.09479837e+01   3.01556520e+01   2.30994663e+01
  7.00000000e-01   2.27642692e+01   2.11782151e+01   3.00961317e+01   2.29468111e+01
  7.10000000e-01   2.30649347e+01   2.14069228e+01   3.00369710e+01   2.27947171e+01
  7.20000000e-01   2.33650104e+01   2.16341122e+01   2.99781667e+01   2.26431792e+01
  7.30000000e-01   2.36644998e+01   2.18597891e+01   2.99197159e+01   2.24921924e+01
  7.40000000e-01   2.39634064e+01   2.20839588e+01   2.98616153e+01   2.23417517e+01
  7.50000000e-01   2.42617338e+01   2.23066268e+01   2.98038620e+01   2.21918519e+01
  7.60000000e-01   2.45594854e+01   2.25277985e+01   2.97464528e+01   2.20424883e+01
  7.70000000e-01   2.48566646e+01   2.27474793e+01   2.96893848e+01   2.18936560e+01
  7.80000000e-01   2.51532748e+01   2.29656743e+01   2.96326551e+01   2.17453501e+01
  7.90000000e-01   2.54493193e+01   2.31823889e+01   2.95762607e+01   2.15975659e+01
  8.00000000e-01   2.57448016e+01   2.33976282e+01   2.95201986e+01   2.14502987e+01
  8.10000000e-01   2.60397250e+01   2.36113974e+01   2.94644661e+01   2.13035439e+01
  8.20000000e-01   2.63340926e+01   2.38237016e+01   2.94090603e+01   2.11572967e+01
  8.30000000e-01   2.66279078e+01   2.40345459e+01   2.93539784e+01   2.10115528e+01
  8.40000000e-01   2.69211738e+01   2.42439352e+01   2.92992175e+01   2.08663075e+01
  8.50000000e-01   2.72138937e+01   2.44518745e+01   2.92447750e+01   2.07215564e+01
  8.60000000e-01   2.75060709e+01   2.46583687e+01   2.91906480e+01   2.05772951e+01
  8.70000000e-01   2.77977083e+01   2.48634228e+01   2.91368340e+01   2.04335193e+01
  8.80000000e-01   2.80888091e+01   2.50670415e+01   2.90833302e+01   2.02902246e+01
  8.90000000e-01   2.83793764e+01   2.52692297e+01   2.90301339e+01   2.01474067e+01
  9.00000000e-01   2.86694133e+01   2.54699920e+01   2.89772427e+01   2.00050615e+01
  9.10000000e-01   2.89589228e+01   2.56693333e+01   2.89246537e+01   1.98631847e+01
  9.20000000e-01   2.92479079e+01   2.58672580e+01   2.88723646e+01   1.97217722e+01
  9.30000000e-01   2.95363715e+01   2.60637710e+01   2.88203728e+01   1.95808199e+01
  9.40000000e-01   2.98243168e+01   2.62588767e+01   2.87686756e+01   1.94403239e+01
  9.50000000e-01   3.01117465e+01   2.64525797e+01   2.87172707e+01   1.93002799e+01
  9.60000000e-01   3.03986637e+01   2.66448846e+01   2.86661556e+01   1.91606843e+01
  9.70000000e-01   3.06850711e+01   2.68357956e+01   2.86153278e+01   1.90215328e+01
  9.80000000e-01   3.09709716e+01   2.70253174e+01   2.85647849e+01   1.88828218e+01
  9.90000000e-01   3.12563682e+01   2.72134543e+01   2.85145245e+01   1.87445474e+01
  1.00000000e+00   3.15412635e+01   2.74002105e+01   2.84645442e+01   1.86067058e+01
