#   theta   maximum distance
  4.06000000e+01   1.25886788e+02
#   theta   maximum distance
  4.07000000e+01   1.25879145e+02
#   theta   maximum distance
  4.08000000e+01   1.25870577e+02
#   theta   maximum distance
  4.09000000e+01   1.25713025e+02
#   theta   maximum distance
  4.10000000e+01   1.25702966e+02
#   theta   maximum distance
  4.11000000e+01   1.25691981e+02
#   theta   maximum distance
  4.12000000e+01   1.25680068e+02
#   theta   maximum distance
  4.13000000e+01   1.25667229e+02
#   theta   maximum distance
  4.14000000e+01   1.25653461e+02
#   theta   maximum distance
  4.15000000e+01   1.25638766e+02
#   theta   maximum distance
  4.16000000e+01   1.25623141e+02
#   theta   maximum distance
  4.17000000e+01   1.25606587e+02
#   theta   maximum distance
  4.18000000e+01   1.25589104e+02
#   theta   maximum distance
  4.19000000e+01   1.25570690e+02
#   theta   maximum distance
  4.20000000e+01   1.25551345e+02
#   theta   maximum distance
  4.21000000e+01   1.25531070e+02
#   theta   maximum distance
  4.22000000e+01   1.25509862e+02
#   theta   maximum distance
  4.23000000e+01   1.25487722e+02
#   theta   maximum distance
  4.24000000e+01   1.25321714e+02
#   theta   maximum distance
  4.25000000e+01   1.25298065e+02
#   theta   maximum distance
  4.26000000e+01   1.25273482e+02
#   theta   maximum distance
  4.27000000e+01   1.25247965e+02
#   theta   maximum distance
  4.28000000e+01   1.25221512e+02
#   theta   maximum distance
  4.29000000e+01   1.25194125e+02
#   theta   maximum distance
  4.30000000e+01   1.25165801e+02
#   theta   maximum distance
  4.31000000e+01   1.25136541e+02
#   theta   maximum distance
  4.32000000e+01   1.25106344e+02
#   theta   maximum distance
  4.33000000e+01   1.25075210e+02
#   theta   maximum distance
  4.34000000e+01   1.25043138e+02
#   theta   maximum distance
  4.35000000e+01   1.25010127e+02
#   theta   maximum distance
  4.36000000e+01   1.24837262e+02
#   theta   maximum distance
  4.37000000e+01   1.24802727e+02
#   theta   maximum distance
  4.38000000e+01   1.24767252e+02
#   theta   maximum distance
  4.39000000e+01   1.24730837e+02
#   theta   maximum distance
  4.40000000e+01   1.24693480e+02
#   theta   maximum distance
  4.41000000e+01   1.24655181e+02
#   theta   maximum distance
  4.42000000e+01   1.24615940e+02
#   theta   maximum distance
  4.43000000e+01   1.24575757e+02
#   theta   maximum distance
  4.44000000e+01   1.24534630e+02
#   theta   maximum distance
  4.45000000e+01   1.24492559e+02
#   theta   maximum distance
  4.46000000e+01   1.24313922e+02
#   theta   maximum distance
  4.47000000e+01   1.24270315e+02
#   theta   maximum distance
  4.48000000e+01   1.24225762e+02
#   theta   maximum distance
  4.49000000e+01   1.24180262e+02
#   theta   maximum distance
  4.50000000e+01   1.24133816e+02
#   theta   maximum distance
  4.51000000e+01   1.24086423e+02
#   theta   maximum distance
  4.52000000e+01   1.24038082e+02
#   theta   maximum distance
  4.53000000e+01   1.23988793e+02
#   theta   maximum distance
  4.54000000e+01   1.23805513e+02
#   theta   maximum distance
  4.55000000e+01   1.23754677e+02
#   theta   maximum distance
  4.56000000e+01   1.23702890e+02
#   theta   maximum distance
  4.57000000e+01   1.23650154e+02
#   theta   maximum distance
  4.58000000e+01   1.23596466e+02
#   theta   maximum distance
  4.59000000e+01   1.23541826e+02
#   theta   maximum distance
  4.60000000e+01   1.23486234e+02
#   theta   maximum distance
  4.61000000e+01   1.23429690e+02
#   theta   maximum distance
  4.62000000e+01   1.23241721e+02
#   theta   maximum distance
  4.63000000e+01   1.23183619e+02
#   theta   maximum distance
  4.64000000e+01   1.23124562e+02
#   theta   maximum distance
  4.65000000e+01   1.23064551e+02
#   theta   maximum distance
  4.66000000e+01   1.23003583e+02
#   theta   maximum distance
  4.67000000e+01   1.22941659e+02
#   theta   maximum distance
  4.68000000e+01   1.22878779e+02
#   theta   maximum distance
  4.69000000e+01   1.22686688e+02
#   theta   maximum distance
  4.70000000e+01   1.22622240e+02
#   theta   maximum distance
  4.71000000e+01   1.22556834e+02
#   theta   maximum distance
  4.72000000e+01   1.22490469e+02
#   theta   maximum distance
  4.73000000e+01   1.22423144e+02
#   theta   maximum distance
  4.74000000e+01   1.22354859e+02
#   theta   maximum distance
  4.75000000e+01   1.22285613e+02
#   theta   maximum distance
  4.76000000e+01   1.22089366e+02
#   theta   maximum distance
  4.77000000e+01   1.22018544e+02
#   theta   maximum distance
  4.78000000e+01   1.21946759e+02
#   theta   maximum distance
  4.79000000e+01   1.21874011e+02
#   theta   maximum distance
  4.80000000e+01   1.21800299e+02
#   theta   maximum distance
  4.81000000e+01   1.21725622e+02
#   theta   maximum distance
  4.82000000e+01   1.21525804e+02
#   theta   maximum distance
  4.83000000e+01   1.21449543e+02
#   theta   maximum distance
  4.84000000e+01   1.21372316e+02
#   theta   maximum distance
  4.85000000e+01   1.21294122e+02
#   theta   maximum distance
  4.86000000e+01   1.21214961e+02
#   theta   maximum distance
  4.87000000e+01   1.21134831e+02
#   theta   maximum distance
  4.88000000e+01   1.20931418e+02
#   theta   maximum distance
  4.89000000e+01   1.20849697e+02
#   theta   maximum distance
  4.90000000e+01   1.20767005e+02
#   theta   maximum distance
  4.91000000e+01   1.20683343e+02
#   theta   maximum distance
  4.92000000e+01   1.20598709e+02
#   theta   maximum distance
  4.93000000e+01   1.20513104e+02
#   theta   maximum distance
  4.94000000e+01   1.20306072e+02
#   theta   maximum distance
  4.95000000e+01   1.20218866e+02
#   theta   maximum distance
  4.96000000e+01   1.20130687e+02
#   theta   maximum distance
  4.97000000e+01   1.20041533e+02
#   theta   maximum distance
  4.98000000e+01   1.19951405e+02
#   theta   maximum distance
  4.99000000e+01   1.19741361e+02
#   theta   maximum distance
  5.00000000e+01   1.19649625e+02
