#   time    x   y   vx  vy
  6.00000000e-01   1.92494582e+01   1.88188602e+01   2.92502294e+01   2.45561565e+01
  6.10000000e-01   1.95415531e+01   1.90636397e+01   2.91687527e+01   2.43997407e+01
  6.20000000e-01   1.98328360e+01   1.93068581e+01   2.90878166e+01   2.42439446e+01
  6.30000000e-01   2.01233121e+01   1.95485216e+01   2.90074161e+01   2.40887621e+01
  6.40000000e-01   2.04129870e+01   1.97886364e+01   2.89275464e+01   2.39341873e+01
  6.50000000e-01   2.07018657e+01   2.00272084e+01   2.88482027e+01   2.37802143e+01
  6.60000000e-01   2.09899536e+01   2.02642437e+01   2.87693802e+01   2.36268373e+01
  6.70000000e-01   2.12772559e+01   2.04997481e+01   2.86910744e+01   2.34740503e+01
  6.80000000e-01   2.15637777e+01   2.07337276e+01   2.86132804e+01   2.33218479e+01
  6.90000000e-01   2.18495240e+01   2.09661880e+01   2.85359938e+01   2.31702242e+01
  7.00000000e-01   2.21345001e+01   2.11971349e+01   2.84592100e+01   2.30191738e+01
  7.10000000e-01   2.24187107e+01   2.14265743e+01   2.83829246e+01   2.28686912e+01
  7.20000000e-01   2.27021610e+01   2.16545116e+01   2.83071330e+01   2.27187708e+01
  7.30000000e-01   2.29848558e+01   2.18809525e+01   2.82318310e+01   2.25694074e+01
  7.40000000e-01   2.32668001e+01   2.21059025e+01   2.81570141e+01   2.24205955e+01
  7.50000000e-01   2.35479985e+01   2.23293671e+01   2.80826782e+01   2.22723299e+01
  7.60000000e-01   2.38284560e+01   2.25513518e+01   2.80088189e+01   2.21246055e+01
  7.70000000e-01   2.41081773e+01   2.27718619e+01   2.79354321e+01   2.19774170e+01
  7.80000000e-01   2.43871670e+01   2.29909028e+01   2.78625136e+01   2.18307594e+01
  7.90000000e-01   2.46654299e+01   2.32084797e+01   2.77900594e+01   2.16846276e+01
  8.00000000e-01   2.49429705e+01   2.34245979e+01   2.77180653e+01   2.15390166e+01
  8.10000000e-01   2.52197934e+01   2.36392626e+01   2.76465274e+01   2.13939217e+01
  8.20000000e-01   2.54959033e+01   2.38524789e+01   2.75754416e+01   2.12493377e+01
  8.30000000e-01   2.57713045e+01   2.40642519e+01   2.75048041e+01   2.11052601e+01
  8.40000000e-01   2.60460016e+01   2.42745866e+01   2.74346109e+01   2.09616839e+01
  8.50000000e-01   2.63199989e+01   2.44834881e+01   2.73648583e+01   2.08186045e+01
  8.60000000e-01   2.65933009e+01   2.46909612e+01   2.72955424e+01   2.06760172e+01
  8.70000000e-01   2.68659119e+01   2.48970109e+01   2.72266594e+01   2.05339175e+01
  8.80000000e-01   2.71378363e+01   2.51016420e+01   2.71582057e+01   2.03923007e+01
  8.90000000e-01   2.74090782e+01   2.53048593e+01   2.70901775e+01   2.02511624e+01
  9.00000000e-01   2.76796419e+01   2.55066676e+01   2.70225712e+01   2.01104980e+01
  9.10000000e-01   2.79495317e+01   2.57070716e+01   2.69553831e+01   1.99703032e+01
  9.20000000e-01   2.82187517e+01   2.59060760e+01   2.68886098e+01   1.98305737e+01
  9.30000000e-01   2.84873060e+01   2.61036854e+01   2.68222476e+01   1.96913050e+01
  9.40000000e-01   2.87551987e+01   2.62999043e+01   2.67562930e+01   1.95524930e+01
  9.50000000e-01   2.90224338e+01   2.64947375e+01   2.66907427e+01   1.94141333e+01
  9.60000000e-01   2.92890155e+01   2.66881892e+01   2.66255931e+01   1.92762219e+01
  9.70000000e-01   2.95549477e+01   2.68802641e+01   2.65608409e+01   1.91387546e+01
  9.80000000e-01   2.98202343e+01   2.70709665e+01   2.64964827e+01   1.90017272e+01
  9.90000000e-01   3.00848793e+01   2.72603009e+01   2.64325151e+01   1.88651358e+01
  1.00000000e+00   3.03488865e+01   2.74482714e+01   2.63689349e+01   1.87289763e+01
  1.01000000e+00   3.06122599e+01   2.76348825e+01   2.63057389e+01   1.85932448e+01
  1.02000000e+00   3.08750032e+01   2.78201384e+01   2.62429237e+01   1.84579373e+01
  1.03000000e+00   3.11371203e+01   2.80040434e+01   2.61804862e+01   1.83230500e+01
  1.04000000e+00   3.13986148e+01   2.81866015e+01   2.61184232e+01   1.81885790e+01
  1.05000000e+00   3.16594906e+01   2.83678170e+01   2.60567316e+01   1.80545205e+01
  1.06000000e+00   3.19197513e+01   2.85476940e+01   2.59954082e+01   1.79208708e+01
  1.07000000e+00   3.21794006e+01   2.87262365e+01   2.59344501e+01   1.77876261e+01
  1.08000000e+00   3.24384421e+01   2.89034485e+01   2.58738541e+01   1.76547828e+01
  1.09000000e+00   3.26968795e+01   2.90793341e+01   2.58136171e+01   1.75223372e+01
  1.10000000e+00   3.29547162e+01   2.92538972e+01   2.57537364e+01   1.73902856e+01
  1.11000000e+00   3.32119560e+01   2.94271418e+01   2.56942088e+01   1.72586246e+01
  1.12000000e+00   3.34686022e+01   2.95990716e+01   2.56350314e+01   1.71273506e+01
