 -1.00000000e+00   0.00000000e+00
 -9.97846257e-01  -9.26629325e-02
 -9.91725240e-01  -1.81627818e-01
 -9.79723748e-01  -2.84308529e-01
 -9.60008007e-01  -3.99271598e-01
 -9.30005577e-01  -5.28192298e-01
 -8.85217477e-01  -6.76341534e-01
 -8.22251453e-01  -8.41561695e-01
 -7.43428071e-01  -1.01095270e+00
 -6.45123479e-01  -1.18876007e+00
 -5.25953603e-01  -1.37366322e+00
 -4.06232767e-01  -1.53706348e+00
 -2.88083837e-01  -1.68272468e+00
 -1.70207430e-01  -1.81634575e+00
 -7.20379503e-02  -1.92047271e+00
  3.09444970e-02  -2.02388794e+00
  1.23603154e-01  -2.11255733e+00
  2.53493485e-01  -2.23084502e+00
  4.13397861e-01  -2.36823725e+00
  6.04924460e-01  -2.52279536e+00
  8.17367947e-01  -2.68363029e+00
  1.04394892e+00  -2.84493578e+00
  1.28633744e+00  -3.00768423e+00
  1.54577788e+00  -3.17237455e+00
  1.82360677e+00  -3.33944996e+00
  2.12123371e+00  -3.50929635e+00
  2.44015217e+00  -3.68225705e+00
  2.78194793e+00  -3.85864235e+00
  3.14830739e+00  -4.03873641e+00
  3.54102561e+00  -4.22280228e+00
  3.96201450e+00  -4.41108543e+00
  4.41331095e+00  -4.60381642e+00
  4.89708516e+00  -4.80121264e+00
  5.41564918e+00  -5.00347950e+00
  5.97146556e+00  -5.21081118e+00
  6.56715623e+00  -5.42339087e+00
  7.20551156e+00  -5.64139069e+00
  7.88949961e+00  -5.86497136e+00
  8.62227537e+00  -6.09428149e+00
  9.40719021e+00  -6.32945661e+00
  1.02478012e+01  -6.57061793e+00
  1.11478805e+01  -6.81787083e+00
  1.21114240e+01  -7.07130305e+00
  1.31426606e+01  -7.33098252e+00
  1.42460599e+01  -7.59695490e+00
  1.54263395e+01  -7.86924067e+00
  1.66884719e+01  -8.14783179e+00
  1.80376882e+01  -8.43268773e+00
  1.94794816e+01  -8.72373080e+00
  2.10196062e+01  -9.02084042e+00
  2.26640708e+01  -9.32384589e+00
  2.44191247e+01  -9.63251686e+00
  2.62912266e+01  -9.94655012e+00
  2.82869835e+01  -1.02655498e+01
  3.04130288e+01  -1.05889964e+01
  3.26757738e+01  -1.09161942e+01
  3.50809065e+01  -1.12461812e+01
  3.76324340e+01  -1.15775765e+01
  4.03312364e+01  -1.19083672e+01
  4.31749595e+01  -1.22358328e+01
  4.61707295e+01  -1.25576869e+01
  4.94221321e+01  -1.28794068e+01
  5.23626621e+01  -1.31437660e+01
  5.53098401e+01  -1.33805155e+01
  5.77199639e+01  -1.35508425e+01
  5.98011280e+01  -1.36797900e+01
  6.18558789e+01  -1.37900911e+01
  6.39134779e+01  -1.38837053e+01
  6.60794306e+01  -1.39647395e+01
  6.82618586e+01  -1.40293907e+01
  7.02209907e+01  -1.40740299e+01
  7.22075604e+01  -1.41074181e+01
  7.43440876e+01  -1.41310714e+01
  7.62367426e+01  -1.41422380e+01
  7.74387987e+01  -1.41448599e+01
  7.89137904e+01  -1.41435777e+01
  8.07233599e+01  -1.41355488e+01
  8.28969509e+01  -1.41169900e+01
  8.53565668e+01  -1.40849003e+01
  8.81012388e+01  -1.40359649e+01
  9.11537610e+01  -1.39661586e+01
  9.45474681e+01  -1.38705210e+01
  9.83213901e+01  -1.37429749e+01
  1.02517456e+02  -1.35761769e+01
  1.07178147e+02  -1.33614082e+01
  1.12344282e+02  -1.30885168e+01
  1.18053154e+02  -1.27459009e+01
  1.24337349e+02  -1.23204990e+01
  1.31224451e+02  -1.17977355e+01
  1.38737410e+02  -1.11613769e+01
  1.46895047e+02  -1.03932791e+01
  1.55712052e+02  -9.47303559e+00
  1.65197980e+02  -8.37754613e+00
  1.75354864e+02  -7.08052474e+00
  1.85842797e+02  -5.60095797e+00
  1.96211967e+02  -3.98926072e+00
  2.06220469e+02  -2.28134812e+00
  2.14025143e+02  -8.35433529e-01
  2.21826745e+02   7.21005432e-01
  2.29483879e+02   2.37007518e+00
  2.39144136e+02   4.65099419e+00
  2.49662880e+02   7.45066325e+00
  2.59353879e+02   1.04255072e+01
  2.68045864e+02   1.35787468e+01
  2.75427571e+02   1.68743307e+01
  2.81163981e+02   2.02605309e+01
  2.84905772e+02   2.36523843e+01
  2.86225866e+02   2.61050605e+01
  2.86086215e+02   2.89139947e+01
  2.83591768e+02   3.18912103e+01
  2.76991260e+02   3.51780115e+01
  2.68635688e+02   3.74768474e+01
  2.59572307e+02   3.90817818e+01
  2.50332523e+02   4.01911447e+01
  2.41309909e+02   4.09304092e+01
  2.32816272e+02   4.13928167e+01
  2.25167072e+02   4.16518254e+01
  2.18879951e+02   4.17686061e+01
  2.14321270e+02   4.18044476e+01
  2.08614551e+02   4.17959486e+01
  2.02152285e+02   4.17196086e+01
  1.94276271e+02   4.15375817e+01
  1.85518865e+02   4.12283204e+01
  1.76223975e+02   4.07847389e+01
  1.66636309e+02   4.02092260e+01
  1.56944818e+02   3.95104636e+01
  1.47300789e+02   3.87011952e+01
  1.37826638e+02   3.77966039e+01
  1.28620830e+02   3.68131048e+01
  1.20679319e+02   3.58804053e+01
  1.12245669e+02   3.48017816e+01
  1.05068469e+02   3.38093559e+01
  9.74659967e+01   3.26792449e+01
  9.09804275e+01   3.16467893e+01
  8.41322333e+01   3.04827188e+01
  7.74836800e+01   2.92730620e+01
  7.07815218e+01   2.79653392e+01
  6.41816584e+01   2.65802058e+01
  5.89694882e+01   2.54105005e+01
  5.43802126e+01   2.43208346e+01
  4.95130799e+01   2.31011029e+01
