  0.00000000e+00   1.00000000e+00   6.28318531e-03   0.00000000e+00   6.28318531e+00    1.97392088e+01   -3.94784176e+01   -1.97392088e+01
  2.00000000e-03   9.99842096e-01   1.88485638e-02  -7.89521598e-02   6.28268924e+00    1.97392087e+01   -3.94784175e+01   -1.97392088e+01
  4.00000000e-03   9.99526312e-01   3.14109660e-02  -1.57891852e-01   6.28120110e+00    1.97392086e+01   -3.94784174e+01   -1.97392088e+01
  6.00000000e-03   9.99052699e-01   4.39684083e-02  -2.36806611e-01   6.27872114e+00    1.97392082e+01   -3.94784171e+01   -1.97392088e+01
  8.00000000e-03   9.98421331e-01   5.65189077e-02  -3.15683975e-01   6.27524974e+00    1.97392078e+01   -3.94784166e+01   -1.97392088e+01
  1.00000000e-02   9.97632308e-01   6.90604826e-02  -3.94511488e-01   6.27078745e+00    1.97392073e+01   -3.94784161e+01   -1.97392088e+01
  1.20000000e-02   9.96685754e-01   8.15911526e-02  -4.73276702e-01   6.26533497e+00    1.97392066e+01   -3.94784154e+01   -1.97392088e+01
  1.40000000e-02   9.95581820e-01   9.41089389e-02  -5.51967180e-01   6.25889318e+00    1.97392058e+01   -3.94784146e+01   -1.97392088e+01
  1.60000000e-02   9.94320679e-01   1.06611865e-01  -6.30570494e-01   6.25146308e+00    1.97392049e+01   -3.94784137e+01   -1.97392088e+01
  1.80000000e-02   9.92902531e-01   1.19097957e-01  -7.09074233e-01   6.24304584e+00    1.97392038e+01   -3.94784126e+01   -1.97392088e+01
  2.00000000e-02   9.91327599e-01   1.31565242e-01  -7.87465999e-01   6.23364280e+00    1.97392027e+01   -3.94784115e+01   -1.97392088e+01
  2.20000000e-02   9.89596132e-01   1.44011753e-01  -8.65733414e-01   6.22325545e+00    1.97392014e+01   -3.94784102e+01   -1.97392088e+01
  2.40000000e-02   9.87708404e-01   1.56435524e-01  -9.43864118e-01   6.21188542e+00    1.97392000e+01   -3.94784088e+01   -1.97392088e+01
  2.60000000e-02   9.85664712e-01   1.68834593e-01  -1.02184577e+00   6.19953450e+00    1.97391984e+01   -3.94784072e+01   -1.97392088e+01
  2.80000000e-02   9.83465380e-01   1.81207002e-01  -1.09966606e+00   6.18620466e+00    1.97391968e+01   -3.94784056e+01   -1.97392088e+01
  3.00000000e-02   9.81110754e-01   1.93550798e-01  -1.17731270e+00   6.17189799e+00    1.97391950e+01   -3.94784038e+01   -1.97392088e+01
  3.20000000e-02   9.78601208e-01   2.05864032e-01  -1.25477343e+00   6.15661675e+00    1.97391931e+01   -3.94784019e+01   -1.97392088e+01
